FBgn0250732	730	FBgn0250732	780	-0.09545114218954195	abs_log2FC
FBgn0037678	50	FBgn0037678	16	1.584962500721156	1.584962500721156
FBgn0054008	30	FBgn0054008	12	1.253756592245783	1.253756592245783
FBgn0285912	15	FBgn0285912	34	-1.1292830169449666	1.1292830169449666
FBgn0015568	206	FBgn0015568	73	1.4840335918703755	1.4840335918703755
FBgn0039415	23	FBgn0039415	8	1.4150374992788437	1.4150374992788437
FBgn0265276	159	FBgn0265276	50	1.6495027529158668	1.6495027529158668
FBgn0263986	13	FBgn0263986	2	2.222392421336448	2.222392421336448
FBgn0039827	12	FBgn0039827	320	-4.625989768981211	4.625989768981211
FBgn0266744	23	FBgn0266744	8	1.4150374992788437	1.4150374992788437
FBti0019466	18	FBti0019466	5	1.6629650127224291	1.6629650127224291
FBgn0039109	150	FBgn0039109	406	-1.430480244941168	1.430480244941168
FBti0062875	10	FBti0062875	23	-1.125530882083859	1.125530882083859
FBti0019405	114	FBti0019405	20	2.453172628165615	2.453172628165615
FBgn0027570	9	FBgn0027570	29	-1.5849625007211563	1.5849625007211563
FBgn0037912	7	FBgn0037912	20	-1.3923174227787605	1.3923174227787605
FBgn0063649	227	FBgn0063649	540	-1.2465947696620736	1.2465947696620736
FBgn0051526	3	FBgn0051526	14	-1.9068905956085185	1.9068905956085185
FBgn0051495	45	FBgn0051495	18	1.2756344426134274	1.2756344426134274
FBgn0002773	14	FBgn0002773	31	-1.0931094043914815	1.0931094043914815
FBti0019468	96	FBti0019468	23	2.0149503414659717	2.0149503414659717
FBgn0262364	3	FBgn0262364	11	-1.5849625007211563	1.5849625007211563
FBti0019353	25	FBti0019353	8	1.5305147166987798	1.5305147166987798
FBgn0026562	9611	FBgn0026562	49457	-2.3632953471174862	2.3632953471174862
FBgn0038149	941	FBgn0038149	430	1.1280391905236853	1.1280391905236853
FBti0019414	16	FBti0019414	1	3.0874628412503395	3.0874628412503395
FBgn0038071	11	FBgn0038071	3	1.584962500721156	1.584962500721156
FBti0019445	21	FBti0019445	8	1.289506617194985	1.289506617194985
FBgn0042102	12	FBgn0042102	5	1.1154772174199359	1.1154772174199359
FBti0019366	17	FBti0019366	2	2.584962500721156	2.584962500721156
FBgn0267939	20	FBgn0267939	45	-1.1312445332782526	1.1312445332782526
FBgn0038765	62	FBgn0038765	30	1.0230836131130412	1.0230836131130412
FBgn0265274	47	FBgn0265274	17	1.4150374992788437	1.4150374992788437
FBgn0262576	9	FBgn0262576	21	-1.137503523749935	1.137503523749935
FBgn0037223	5	FBgn0037223	22	-1.9385994553358568	1.9385994553358568
FBgn0037290	87	FBgn0037290	10	3.0	3.0
FBgn0053346	15	FBgn0053346	2	2.415037499278844	2.415037499278844
FBgn0051125	30	FBgn0051125	9	1.632268215499513	1.632268215499513
FBti0019364	86	FBti0019364	21	1.983511877211431	1.983511877211431
